"","Id","state","county","communityname","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","FTPolicePerPop","FTPoliceFieldPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","PctPolicOnPatr","GangUnitDeploy","PolicBudgPerPop"
"11",11,"34","39","Elizabethcity",0.16,0.52,0.39,0.47,0.17,0.73,0.39,0.53,0.34,0.38,0.17,1,0.26,0.54,0.13,0.31,0.43,0.55,0.37,0.26,0.24,0.27,0.22,0.18,0.33,0.33,0.37,0.16,0.42,0.7,0.74,0.17,0.67,0.45,0.61,0.23,0.88,0.19,0.52,0.62,0.52,0.54,0.65,0.41,0.38,0.46,0.35,0.48,0.43,0.16,0.73,0.27,0.37,0.45,0.5,0.58,0.96,1,1,1,0,1,0.49,0.42,0.55,0.74,0.5,0.15,0.53,0.77,0,0.12,0.8,0.13,0.36,0.43,0.15,0.51,0.62,0.33,0.36,0.33,0.38,0.41,0.45,0.41,0.48,0.71,0.63,0.04,0.1,1,0.4,0.6,0.68,0.61,0.27,0.33,0.55,0.78,0.13,0.22,0,0.24,0.08,0.37,0.03,0.75,0.59,0.08,0.05,0.84,1,0.22
"12",12,"6",NA,"Redlandscity",0.08,0.49,0.07,0.69,0.27,0.35,0.46,0.5,0.33,0.36,0.1,1,0.42,0.58,0.23,0.5,0.39,0.34,0.56,0.43,0.44,0.48,0.3,0.24,0.31,0.25,0.34,0.05,0.23,0.19,0.25,0.5,0.27,0.53,0.19,0.73,0.23,0.62,0.47,0.42,0.59,0.57,0.53,0.64,0.64,0.68,0.64,0.4,0.42,0.02,0.18,0.04,0.41,0.5,0.58,0.58,0.3,0.32,0.34,0.31,0.7,0.2,0.33,0.3,0.49,0.53,0.44,0.52,0.25,0.48,0.5,0.06,0.81,0.5,0.09,0.22,0.67,0.15,0.05,0.33,0.35,0.38,0.51,0.49,0.56,0.49,0.52,0.59,0.19,0.05,0.06,0.31,0.46,0.34,0.5,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.21,0.02,NA,NA,NA,NA,NA
"13",13,"48",NA,"Bedfordcity",0.05,0.35,0.05,0.9,0.15,0.08,0.4,0.53,0.31,0.11,0.07,1,0.51,0.91,0.29,0.52,0.11,0.05,0.21,0.58,0.51,0.49,0.43,0.35,0.49,0.46,0.48,0.01,0.08,0.05,0.09,0.55,0.17,0.86,0.34,0.25,0.16,0.56,0.58,0.33,0.62,0.63,0.45,0.77,0.81,0.83,0.72,0.6,0.65,0.01,0.09,0.01,0.46,0.41,0.46,0.52,0.13,0.1,0.11,0.11,0.88,0.05,0.12,0.11,0.39,0.6,0.18,0.55,0.09,0.48,0.5,0.07,0.74,0.45,0.01,0.1,0.88,0.1,0,0.23,0.21,0.23,0.36,0.33,0.38,0.33,0.22,0.46,0.22,0,0,0.12,0.43,0.31,0.41,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.37,0,NA,NA,NA,NA,NA
"14",14,"33","17","Dovercity",0.02,0.32,0.02,0.97,0.07,0.02,0.38,0.64,0.47,0.4,0.04,1,0.33,0.67,0.38,0.59,0.42,0.19,0.55,0.36,0.35,0.34,0.24,0.28,0.26,0.33,0.38,0.02,0.24,0.23,0.28,0.39,0.34,0.64,0.48,0.4,0.34,0.45,0.43,0.56,0.47,0.47,0.35,0.61,0.64,0.67,0.51,0.7,0.78,0.01,0.21,0.01,0.42,0.42,0.41,0.47,0.11,0.1,0.09,0.09,0.88,0.05,0.12,0.11,0.32,0.43,0.27,0.42,0.05,0.64,0,0.05,0.66,0.38,0.06,0.36,0.4,0.19,0.14,0.29,0.28,0.27,0.43,0.42,0.45,0.41,0.51,0.66,0.85,0.02,0,0.11,0.45,0.45,0.42,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.08,NA,NA,NA,NA,NA
"15",15,"41",NA,"Lebanoncity",0,0.37,0,0.96,0.05,0.04,0.39,0.42,0.26,0.61,0,0,0.15,0.26,0.26,0.44,0.67,0.49,0.63,0.16,0.17,0.16,0.17,0.12,0.27,0.3,0.3,0.02,0.49,0.32,0.48,0.13,0.71,0.29,0.65,0.44,0.69,0.28,0.62,0.28,0.63,0.65,0.4,0.52,0.56,0.39,0.56,0.52,0.51,0.01,0.29,0,0.09,0.07,0.06,0.05,0.02,0.01,0.01,0.01,0.94,0.02,0.24,0.22,0.39,0.37,0.44,0.47,0.16,0.56,0,0.01,0.82,0.49,0.1,0.46,0.52,0.38,0,0.07,0.05,0.05,0.17,0.19,0.19,0.19,0.48,0.54,0.6,0,0,0.07,0.49,0.44,0.62,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.19,0.01,NA,NA,NA,NA,NA
"16",16,"44","1","Warrentown",0,0.37,0.01,0.99,0.02,0.02,0.3,0.4,0.23,0.58,0.02,0.87,0.33,0.52,0.29,0.49,0.61,0.28,0.53,0.35,0.35,0.33,0.31,0.25,0.38,0.41,0.32,0.01,0.18,0.49,0.53,0.23,0.3,0.55,0.64,0.35,0.52,0.32,0.41,0.36,0.38,0.41,0.42,0.71,0.73,0.71,0.71,0.74,0.82,0,0.11,0.01,0.01,0.18,0.22,0.2,0.01,0.11,0.13,0.1,0.71,0.23,0.15,0.14,0.38,0.49,0.26,0.56,0.05,0.52,0.5,0.01,0.77,0.5,0.03,0.65,0.21,0.15,0.66,0.34,0.34,0.33,0.31,0.35,0.39,0.37,0.51,0.61,0.47,0,0,0.3,0.55,0.65,0.67,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.15,0.11,NA,NA,NA,NA,NA
"17",17,"48",NA,"Georgetowncity",0.01,0.55,0.1,0.8,0.03,0.39,0.64,0.6,0.51,0.4,0,0,0.24,0.58,0.42,0.43,0.45,0.29,0.38,0.26,0.24,0.25,0.19,0.2,0.18,0.2,0.2,0.02,0.47,0.44,0.46,0.37,0.31,0.49,0.37,0.66,0.3,0.46,0.41,0.44,0.45,0.45,0.53,0.65,0.65,0.6,0.6,0.66,0.73,0,0.13,0.01,0.39,0.4,0.44,0.47,0.16,0.14,0.14,0.14,0.65,0.27,0.28,0.26,0.47,0.5,0.47,0.43,0.26,0.46,0.5,0.03,0.58,0.43,0.06,0.5,0.79,0.46,0.17,0.12,0.12,0.13,0.16,0.19,0.23,0.22,0.35,0.54,0.65,0,0,0.17,0.71,0.36,0.43,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.09,0.01,NA,NA,NA,NA,NA
"18",18,"48",NA,"Jacksonvillecity",0,0.49,0.47,0.49,0.07,0.2,0.51,0.49,0.37,0.56,0,0,0.1,0.36,0.56,0.32,0.68,0.5,0.3,0.13,0.14,0.2,0.14,0.13,0.28,0.15,0.17,0.03,0.71,0.67,0.69,0.2,0.58,0.28,0.62,0.53,0.78,0.32,0.59,0.39,0.58,0.61,0.53,0.41,0.42,0.44,0.4,0.34,0.42,0.01,0.37,0.01,0.73,0.88,0.89,0.83,0.36,0.38,0.35,0.3,0.8,0.26,0.37,0.34,0.46,0.4,0.56,0.44,0.33,0.57,0,0.02,0.67,0.49,0.26,0.66,0.56,0.99,0.81,0.04,0.04,0.06,0.07,0.13,0.14,0.13,0.38,0.51,0.54,0,0,0.21,0.82,0.46,0.66,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.08,0,NA,NA,NA,NA,NA
"19",19,"49",NA,"WestJordancity",0.05,1,0.01,0.91,0.12,0.12,0.63,0.58,0.29,0.04,0.07,0.99,0.36,0.91,0.25,0.34,0.1,0.21,0.12,0.31,0.15,0.14,0.29,0.12,0.18,0.27,0.28,0.03,0.17,0.09,0.22,0.24,0.18,0.79,0.41,0.28,0.49,0.31,0.3,0.31,0.39,0.36,1,0.81,0.86,0.82,0.75,0.55,0.57,0.01,0.08,0.01,0.12,0.14,0.18,0.37,0.02,0.02,0.02,0.04,0.91,0.05,1,1,1,1,0.69,0.82,0.32,0.28,0.5,0.02,0.85,0.76,0.09,0.46,0.83,0.09,0.02,0.14,0.12,0.11,0.26,0.25,0.28,0.26,0.45,0.51,0.46,0,0,0.06,0.77,0.59,0.84,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.13,0.12,NA,NA,NA,NA,NA
"20",20,"29",NA,"Arnoldcity",0.01,0.53,0,0.99,0.02,0.01,0.45,0.52,0.33,0.25,0.03,1,0.37,0.71,0.28,0.42,0.36,0.12,0.41,0.33,0.26,0.24,0.16,0.15,0.45,0.22,0.33,0.01,0.13,0.45,0.49,0.13,0.34,0.63,0.44,0.29,0.5,0.26,0.48,0.31,0.51,0.51,0.52,0.69,0.69,0.76,0.62,0.65,0.67,0,0.06,0,0.15,0.11,0.09,0.08,0.01,0,0,0,0.98,0.02,0.21,0.23,0.58,0.56,0.55,0.76,0.11,0.39,0.5,0.02,0.83,0.76,0.02,0.35,0.6,0.15,0.2,0.14,0.12,0.1,0.31,0.3,0.3,0.34,0.42,0.21,0.25,0,0,0.01,0.84,0.66,0.59,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.14,0.04,NA,NA,NA,NA,NA
"21",21,"25","11","Greenfieldtown",0.01,0.32,0.02,0.97,0.05,0.02,0.34,0.41,0.26,0.58,0,0,0.25,0.43,0.16,0.5,0.61,0.61,0.55,0.32,0.29,0.28,0.17,0.27,0.18,0.13,0.87,0.02,0.31,0.21,0.33,0.28,0.36,0.45,0.32,0.64,0.36,0.4,0.61,0.47,0.63,0.65,0.38,0.43,0.51,0.51,0.37,0.5,0.54,0.01,0.24,0,0.32,0.48,0.44,0.37,0.05,0.07,0.05,0.04,0.92,0.03,0.13,0.11,0.31,0.42,0.21,0.5,0.05,0.54,0.5,0.02,0.83,0.45,0.04,0.37,0.06,0.26,0.21,0.26,0.25,0.24,0.27,0.32,0.35,0.33,0.58,0.54,0.44,0.01,0,0.06,0.74,0.56,0.75,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.07,0.04,NA,NA,NA,NA,NA
"22",22,"48",NA,"CollegeStationcity",0.07,0.58,0.12,0.74,0.4,0.16,1,1,1,0.04,0.08,1,0.05,0.87,0.78,0.53,0.05,0.07,0.08,0.27,0.14,0.15,0.17,0.15,0.18,0.13,0.18,0.14,1,0.08,0.08,0.97,0.36,0.22,0.05,1,0.17,0.63,0.05,1,0.09,0.06,0.41,0.73,0.74,0.75,0.56,0.46,0.49,0.01,0.24,0.03,0.91,0.93,0.91,0.85,0.58,0.52,0.47,0.4,0.78,0.07,0.15,0.08,0.29,0.57,0.28,0.06,0.28,0.8,0,0.1,0.59,0.03,0.07,0.59,0.79,0.17,0.07,0.17,0.16,0.17,0.28,0.29,0.3,0.29,1,0.45,0.24,0,0,0.27,0.56,0,0,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.15,0.22,NA,NA,NA,NA,NA
"23",23,"18",NA,"FortWaynecity",0.26,0.35,0.33,0.7,0.06,0.05,0.42,0.53,0.34,0.42,0.27,1,0.24,0.58,0.2,0.46,0.49,0.27,0.46,0.27,0.26,0.28,0.22,0.19,0.24,0.24,0.31,0.18,0.3,0.25,0.39,0.24,0.38,0.56,0.49,0.34,0.53,0.34,0.64,0.48,0.64,0.67,0.46,0.44,0.47,0.51,0.42,0.69,0.73,0.16,0.41,0.03,0.35,0.36,0.39,0.44,0.05,0.05,0.05,0.05,0.93,0.04,0.26,0.22,0.36,0.44,0.28,0.55,0.1,0.53,0.5,0.4,0.6,0.51,0.42,0.38,0.38,0.46,0.13,0.06,0.06,0.07,0.22,0.23,0.25,0.23,0.38,0.13,0.26,0.06,0.03,0.06,0.7,0.53,0.74,0.69,0.15,0.2,0.96,0.66,0.45,0.09,0,0.37,0.06,0.5,0.18,0.23,0.12,0.12,0.03,0.94,0.5,0.06
"24",24,"39","43","Perkinstownship",0,0.57,0.11,0.89,0.06,0.02,0.35,0.29,0.18,0.55,0,0,0.45,0.61,0.58,0.67,0.57,0.23,0.63,0.44,0.37,0.37,0.28,0.39,0.63,0.11,0.35,0,0.12,0.31,0.39,0.25,0.2,0.39,0.63,0.43,0.47,0.43,0.51,0.23,0.25,0.38,0.47,0.82,0.79,0.83,0.83,0.69,0.55,0,0.15,0,0.06,0.26,0.21,0.28,0.01,0.03,0.02,0.03,0.94,0.03,0.17,0.19,0.53,0.52,0.43,0.89,0.04,0.2,0.5,0.01,0.84,0.88,0.13,0.42,0.52,0.05,0.28,0.16,0.15,0.15,0.2,0.22,0.24,0.23,0.52,0.16,0.25,0,0,0.06,0.78,0.71,0.83,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.03,0.01,NA,NA,NA,NA,NA
"25",25,"9","11","Waterfordtown",0.01,0.4,0.04,0.94,0.08,0.03,0.28,0.34,0.21,0.61,0.03,0.92,0.54,0.56,0.22,0.73,0.57,0.12,0.82,0.52,0.49,0.48,0.34,0.06,0.58,0.99,0.89,0,0.07,0.25,0.3,0.35,0.24,0.5,0.48,0.52,0.26,0.54,0.37,0.35,0.33,0.36,0.36,0.78,0.75,0.93,0.74,0.55,0.51,0,0.09,0.01,0.05,0.06,0.12,0.13,0.02,0.02,0.03,0.04,0.9,0.03,0.14,0.14,0.4,0.39,0.32,0.85,0.03,0.33,0.5,0.02,0.8,0.84,0.23,0.7,0.38,0.02,0.11,0.4,0.4,0.41,0.49,0.54,0.63,0.57,0.4,0.45,0.25,0.01,0,0.15,0.63,0.77,0.85,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.04,0.04,NA,NA,NA,NA,NA
"26",26,"34","5","Florencetownship",0,0.47,0.14,0.88,0.04,0.03,0.35,0.43,0.25,0.42,0.01,0.85,0.43,0.65,0.2,0.51,0.51,0.2,0.62,0.43,0.35,0.34,0.29,0.28,0.06,0.54,0.48,0.01,0.17,0.38,0.43,0.22,0.24,0.62,0.37,0.25,0.43,0.28,0.44,0.34,0.44,0.46,0.52,0.66,0.65,0.73,0.75,0.63,0.63,0,0.18,0,0.11,0.33,0.29,0.27,0.03,0.07,0.06,0.05,0.86,0.07,0.22,0.23,0.53,0.52,0.49,0.77,0.09,0.39,0.5,0.01,0.85,0.76,0.14,0.42,0.17,0.21,0,0.24,0.24,0.26,0.43,0.45,0.5,0.45,0.39,0.52,0.63,0,0,0.1,0.78,0.76,0.77,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.09,0.01,NA,NA,NA,NA,NA
