"","state","county","communityname","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumIlleg","PctIlleg","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","RentLowQ","RentMedian","RentHighQ","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","FTPolicePerPop","FTPoliceFieldPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","PctPolicOnPatr","GangUnitDeploy","PolicBudgPerPop","ViolentCrimesPerPop"
"11","34","13","CedarGrovetownship",0,0.57,0.04,0.88,0.31,0.04,0.25,0.32,0.2,0.65,0.02,1,0.72,0.62,0.18,0.82,0.6,0.08,0.68,0.7,0.62,0.62,0.16,0,0.43,0.03,0.42,0,0.06,0.23,0.27,0.5,0.14,0.45,0.32,0.44,0.17,0.64,0.15,0.45,0.23,0.2,0.47,0.87,0.87,0.88,1,0.43,0.43,0,0.01,0.01,0.35,0.31,0.32,0.31,0.26,0.2,0.19,0.17,0.78,0.13,0.17,0.18,0.5,0.59,0.15,0.82,0.03,0.33,0.5,0,0.97,0.74,0,0.62,0.35,0,0.1,0.59,0.56,0.52,0.66,0.72,0.85,0.69,0.46,0.52,0.51,0,0,0.31,0.69,0.77,0.77,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.24,0.35,NA,NA,NA,NA,NA,0.16
"12","36","71","Newburghcity",0.03,0.59,0.68,0.25,0.03,0.43,0.53,0.59,0.42,0.33,0.04,1,0.18,0.39,0.06,0.23,0.47,0.64,0.41,0.18,0.16,0.22,0.22,0.07,0.23,0.2,0.23,0.06,0.7,0.64,0.75,0.17,0.81,0.37,0.54,0.51,0.68,0.25,0.64,0.69,0.64,0.67,0.72,0.11,0.14,0,0.23,0.34,0.36,0.08,1,0.02,0.67,0.69,0.75,0.74,0.57,0.52,0.51,0.46,0.57,0.36,0.69,0.58,0.59,0.54,0.64,0.14,0.44,0.64,0,0.05,0.59,0.18,1,0.63,0,1,0.49,0.23,0.23,0.22,0.38,0.4,0.44,0.42,0.89,0.74,0.97,0.09,0.02,0.36,0.67,0.5,0.74,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.58,0.22,NA,NA,NA,NA,NA,0.64
"13","25","9","Saugustown",0.02,0.49,0.01,0.98,0.04,0.01,0.35,0.42,0.29,0.51,0.04,1,0.5,0.59,0.18,0.53,0.61,0.23,0.64,0.51,0.43,0.41,0.53,0.2,0.74,0.19,0.42,0.01,0.09,0.19,0.32,0.25,0.35,0.55,0.38,0.34,0.31,0.41,0.27,0.43,0.29,0.29,0.55,0.77,0.78,0.91,0.78,0.49,0.53,0,0.06,0.01,0.05,0.08,0.12,0.14,0.02,0.02,0.03,0.03,0.89,0.05,0.25,0.25,0.53,0.6,0.24,0.81,0.04,0.41,0.5,0.01,0.93,0.75,0.06,0.49,0.33,0.02,0.14,0.46,0.42,0.39,0.24,0.49,0.59,0.5,0.42,0.41,0.54,0,0,0.14,0.93,0.93,0.81,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.19,0.35,NA,NA,NA,NA,NA,0.2
"14","36","109","Ithacacity",0.03,0.66,0.13,0.73,0.61,0.07,1,1,1,0.21,0.05,1,0.1,0.64,0.23,0.61,0.29,0.25,0.32,0.25,0.14,0.16,0.17,0.09,0.1,0.1,0.17,0.08,1,0.16,0.21,0.82,0.28,0.21,0.08,1,0.12,0.67,0.15,1,0.27,0.22,0.29,0.32,0.37,0.53,0.21,0.36,0.46,0.01,0.28,0.02,0.79,0.78,0.78,0.76,0.64,0.55,0.5,0.45,0.71,0.05,0.2,0.21,0.27,0.32,0.31,0.08,0.12,0.63,0,0.02,0.84,0.1,0.03,0.45,0,0.26,0.06,0.21,0.21,0.23,0.37,0.39,0.52,0.37,1,0.51,0.51,0.01,0,0.34,0.48,0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.45,0.34,NA,NA,NA,NA,NA,0.15
"15","6",NA,"Banningcity",0.02,0.5,0.19,0.53,0.45,0.43,0.35,0.36,0.22,0.71,0,0,0.18,0.08,0.12,0.37,0.83,0.91,0.82,0.2,0.21,0.26,0.23,0.11,0.1,0.23,0.24,0.03,0.44,0.45,0.65,0.14,0.74,0.08,0.25,0.34,0.5,0.22,0.57,0.31,0.58,0.59,0.53,0.45,0.47,0.47,0.65,0.13,0.18,0.02,0.31,0.02,0.46,0.49,0.49,0.59,0.45,0.42,0.38,0.42,0.58,0.46,0.56,0.51,0.53,0.36,0.81,0.48,0.55,0.71,0,0.04,0.58,0.59,0.23,0.35,0.6,0.41,0.21,0.18,0.19,0.22,0.31,0.33,0.37,0.34,0.72,0.61,0.36,0.02,0,0.41,0.42,0.36,0.45,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.09,0.02,NA,NA,NA,NA,NA,0.37
"16","48",NA,"Stephenvillecity",0.01,0.33,0.03,0.9,0.04,0.13,0.85,0.83,0.85,0.51,0,0,0.11,0.43,1,0.43,0.53,0.22,0.5,0.24,0.19,0.19,0.15,0.11,0.18,0.2,0.22,0.02,0.59,0.3,0.4,0.44,0.46,0.37,0.3,0.61,0.44,0.41,0.35,0.72,0.4,0.4,0.37,0.68,0.66,0.85,0.63,0.18,0.32,0,0.08,0,0.23,0.49,0.59,0.63,0.04,0.07,0.08,0.08,0.88,0.08,0.15,0.11,0.24,0.29,0.24,0.43,0.15,0.62,0,0.04,0.45,0.42,0.09,0.43,0.65,0.52,0.4,0.06,0.07,0.07,0.16,0.18,0.19,0.17,0.72,0.37,0.54,0,0,0.07,0.85,0.28,0.3,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0,NA,NA,NA,NA,NA,0.03
"17","34","25","Freeholdborough",0,0.52,0.36,0.6,0.17,0.21,0.36,0.51,0.31,0.42,0.02,1,0.47,0.64,0.32,0.48,0.53,0.25,0.51,0.46,0.35,0.39,0.28,0.06,0.47,0.28,0.31,0.01,0.2,0.36,0.45,0.34,0.41,0.58,0.26,0.48,0.44,0.44,0.43,0.54,0.51,0.49,0.6,0.57,0.51,0.85,0.48,0.64,0.46,0.02,0.68,0.01,0.59,0.57,0.71,0.74,0.3,0.25,0.29,0.28,0.74,0.25,0.46,0.43,0.56,0.56,0.56,0.5,0.27,0.49,0.5,0.01,0.8,0.5,0.25,0.49,0.35,0.26,0.34,0.34,0.33,0.31,0.49,0.57,0.65,0.58,0.67,0.67,0.64,0,0,0.21,0.63,0.64,0.67,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.45,0.28,NA,NA,NA,NA,NA,0.28
"18","9","3","Avontown",0.01,0.41,0.02,0.96,0.09,0.01,0.29,0.27,0.18,0.42,0.01,0.58,0.91,0.71,0.33,0.91,0.38,0.05,0.46,0.96,1,0.98,0.72,0,0.66,0.32,0.31,0,0.02,0.1,0.1,0.86,0.06,0.62,0.26,0.55,0.08,0.87,0.24,0.27,0.22,0.23,0.39,0.96,0.98,0.94,0.87,0.3,0.3,0,0.01,0.01,0.24,0.37,0.4,0.43,0.1,0.13,0.13,0.13,0.89,0.04,0.09,0.11,0.44,0.47,0.2,0.87,0.01,0.31,0.5,0.02,0.77,0.83,0,0.44,0.71,0.03,0.06,0.61,0.68,0.79,0.83,0.78,0.95,0.83,0.52,0.6,0.46,0,0,0.17,0.43,0.57,0.63,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.05,0.08,NA,NA,NA,NA,NA,0.02
"19","25","23","Plymouthtown",0.06,0.55,0.04,0.95,0.04,0.02,0.41,0.47,0.28,0.37,0,0,0.47,0.58,0.3,0.47,0.43,0.33,0.45,0.46,0.37,0.35,0.32,0.18,0.51,0.29,0.38,0.02,0.14,0.14,0.26,0.35,0.45,0.55,0.23,0.41,0.29,0.41,0.38,0.42,0.41,0.41,0.57,0.7,0.73,0.77,0.61,0.44,0.55,0.02,0.17,0.01,0.11,0.17,0.19,0.23,0.02,0.03,0.03,0.04,0.91,0.04,0.25,0.25,0.56,0.6,0.41,0.73,0.06,0.44,0.5,0.2,0.16,0.69,0.37,0.85,0.67,0.07,0.11,0.39,0.36,0.34,0.47,0.56,0.66,0.6,0.65,0.66,0.75,0,0.01,0.08,0.85,0.65,0.74,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.04,0.13,NA,NA,NA,NA,NA,0.37
"20","42","17","Doylestowntownship",0.01,0.72,0.05,0.95,0.06,0.02,0.57,0.51,0.46,0.38,0.02,0.92,0.67,0.56,0.43,0.82,0.52,0.09,0.53,0.72,0.58,0.58,0.2,0.12,0.46,0.44,0.51,0,0.04,0.16,0.22,0.58,0.08,0.39,0.45,0.54,0.19,0.64,0.36,0.58,0.27,0.32,0.53,0.87,0.89,0.94,0.83,0.29,0.39,0,0.08,0,0.07,0.12,0.18,0.35,0.02,0.03,0.04,0.07,0.91,0.04,0.23,0.24,0.51,0.59,0.13,0.88,0.02,0.23,0.5,0.01,0.76,0.81,0.03,0.38,0.73,0.02,0.27,0.52,0.57,0.57,0.39,0.64,1,0.71,0.64,0.55,0.36,0.01,0,0.12,0.64,0.57,0.58,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.08,0.11,NA,NA,NA,NA,NA,0.12
"21","48",NA,"ElPasocity",0.81,0.73,0.07,0.65,0.07,1,0.58,0.6,0.4,0.26,0.81,1,0.2,0.62,0.2,0.27,0.37,0.47,0.48,0.17,0.15,0.16,0.26,0.14,0.22,0.2,0.23,1,0.67,0.77,0.61,0.25,0.66,0.36,0.37,0.44,0.47,0.39,0.43,0.45,0.58,0.54,0.84,0.58,0.53,0.63,0.55,0.3,0.22,0.37,0.31,0.81,0.32,0.35,0.38,0.43,0.53,0.5,0.5,0.51,0,0.95,0.7,0.7,0.78,0.82,0.71,0.49,0.64,0.47,0.5,0.43,0.83,0.48,0.4,0.35,0.65,0.51,0.53,0.11,0.1,0.1,0.17,0.22,0.25,0.19,0.48,0.41,0.26,0.21,0.22,0.7,0.5,0.56,0.71,0.56,0.1,0.13,0.99,0,0.06,1,0.1,1,0.13,0.23,0.72,0.18,0.17,0.58,0.12,0.73,0.5,0.07,0.43
"22","4",NA,"SierraVistacity",0.04,0.53,0.23,0.66,0.32,0.22,0.49,0.63,0.44,0.21,0,0,0.3,0.71,0.42,0.54,0.24,0.21,0.81,0.28,0.28,0.31,0.27,0.14,0.18,0.22,0.3,0.03,0.28,0.1,0.14,0.38,0.32,0.66,0.09,0.38,0.22,0.54,0.4,0.36,0.46,0.45,0.49,0.73,0.75,0.78,0.68,0.54,0.49,0.01,0.13,0.02,0.21,0.3,0.27,0.34,0.11,0.13,0.11,0.12,0.78,0.06,0.21,0.21,0.49,0.45,0.54,0.29,0.17,0.47,0.5,0.07,0.6,0.33,0.04,0.39,0.79,0.28,0.06,0.17,0.15,0.14,0.27,0.28,0.3,0.28,0.4,0.41,0.08,0,0,0.21,0.09,0.13,0.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.02,0.15,NA,NA,NA,NA,NA,0.05
"23","42","29","Calntownship",0,0.58,0.27,0.75,0.11,0.02,0.25,0.43,0.2,0.35,0.02,0.91,0.49,0.77,0.22,0.55,0.31,0.16,0.42,0.45,0.36,0.38,0.26,0,0.32,0.38,0.71,0.01,0.16,0.19,0.27,0.36,0.13,0.58,0.52,0.42,0.46,0.43,0.64,0.38,0.43,0.54,0.51,0.73,0.74,0.72,0.49,0.46,0.51,0.01,0.32,0,0.18,0.4,0.5,0.63,0.05,0.09,0.1,0.12,0.91,0.02,0.2,0.21,0.53,0.55,0.44,0.68,0.07,0.29,0.5,0.01,0.88,0.66,0.2,0.5,0.73,0.04,0.08,0.26,0.25,0.24,0.5,0.45,0.49,0.54,0.48,0.67,0.54,0,0,0.1,0.76,0.56,0.63,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.11,0.12,NA,NA,NA,NA,NA,0.19
"24","48",NA,"Andrewscity",0,0.61,0.05,0.6,0.07,0.63,0.52,0.51,0.3,0.33,0,0,0.24,0.6,0.62,0.3,0.44,0.29,0.42,0.23,0.18,0.21,0.28,0.2,0.17,0.18,0.2,0.01,0.42,0.63,0.68,0.14,0.45,0.39,0.22,0.34,0.64,0.31,0.36,0.22,0.4,0.39,0.68,0.77,0.73,0.74,0.74,0.31,0.2,0,0.09,0.01,0.18,0.2,0.31,0.52,0.16,0.15,0.22,0.33,0.45,0.44,0.48,0.49,0.66,0.63,0.66,0.69,0.44,0.42,0.5,0.02,0.55,0.7,0.14,0.77,0.52,0.66,0.7,0.04,0.03,0.04,0.13,0.15,0.17,0.15,0.18,0.18,0.21,0,0,0.37,0.68,0.51,0.74,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.19,0,NA,NA,NA,NA,NA,0.07
"25","50","7","Colchestertown",0.01,0.58,0.01,0.98,0.05,0.01,0.7,0.73,0.62,0.15,0.02,0.69,0.46,0.81,0.37,0.46,0.18,0.14,0.29,0.44,0.34,0.33,0.19,0.3,0.24,0.09,0.28,0,0.1,0.16,0.15,0.45,0.19,0.71,0.31,0.51,0.27,0.51,0.38,0.63,0.43,0.42,0.44,0.68,0.75,0.7,0.72,0.69,0.81,0,0.2,0,0.68,0.54,0.6,0.54,0.18,0.12,0.12,0.1,0.92,0.01,0.09,0.1,0.47,0.52,0.35,0.69,0.05,0.52,0.5,0.04,0.37,0.65,0.43,0.73,0.69,0.07,0.26,0.28,0.28,0.28,0.44,0.43,0.47,0.44,0.34,0.45,0.51,0,0,0.1,0.6,0.43,0.59,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,0.04,NA,NA,NA,NA,NA,0.01
"26","8",NA,"Greeleycity",0.08,0.45,0.01,0.84,0.06,0.38,0.66,0.68,0.61,0.33,0.1,1,0.2,0.58,0.56,0.44,0.39,0.36,0.32,0.25,0.22,0.22,0.2,0.1,0.18,0.2,0.22,0.1,0.51,0.41,0.4,0.4,0.34,0.52,0.32,0.52,0.41,0.39,0.49,0.56,0.49,0.51,0.47,0.58,0.59,0.53,0.55,0.54,0.6,0.03,0.22,0.02,0.47,0.6,0.62,0.64,0.16,0.17,0.16,0.16,0.76,0.2,0.25,0.22,0.4,0.47,0.36,0.45,0.17,0.52,0.5,0.07,0.79,0.43,0.14,0.36,0.65,0.36,0.14,0.14,0.13,0.13,0.21,0.23,0.26,0.2,0.55,0.49,0.32,0.06,0,0.14,0.49,0.32,0.47,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.18,0.04,NA,NA,NA,NA,NA,0.08
